,bbl,eui
396,1014390019,13.6
397,1019760056,8.1
398,1015400014,9.9
399,3048710001,88.3
400,3048040006,77.8
401,1006100017,8.2
402,1015430005,11.3
403,3079180061,52.2
404,3044070030,19.1
405,1019300053,29.1
406,4006350033,24.6
407,4097540034,35.9
408,1008987502,67.7
409,2039730005,21.2
410,4006730034,16.2
411,3030760006,35.5
412,4030577501,34.4
413,1005620036,76.3
414,4006140065,74.9
415,2031430260,86.4
416,1008390079,63.9
417,3068030058,56.3
418,3019920012,48.5
419,2046560001,88.3
420,1022430313,67.2
421,1020967501,73.6
422,1009040029,55.9
423,1015020020,55.9
424,1002320009,47.1
425,1007920038,146.3
426,4038090027,34.8
427,1008370052,120.3
428,1008130040,64.3
429,2032640109,56.2
430,4006400031,49.4
431,5012720011,27.2
432,1018750029,112.5
433,4011940032,53.3
434,1008380027,36.9
435,1008320041,76.6
436,3044130001,158.5
437,1012520038,62.7
438,2057160287,64.6
439,1002850029,106.1
440,1003730038,135.0
441,1004550029,83.3
442,1010180006,105.8
443,3088120137,52.6
444,1017790007,91.8
445,5012720011,27.2
446,4004130032,38.8
447,1011320021,81.3
448,4005880026,87.8
449,1007947502,76.7
450,1008160074,116.6
451,1005537502,63.6
454,1008030065,55.8
455,1001347504,48.5
456,1020020061,52.3
457,1020750005,80.7
458,2023730023,60.2
459,2023990006,99.8
460,2024490064,90.5
461,2024490068,87.1
462,2024540026,92.7
463,2024550028,101.3
464,2024570004,81.6
465,2024570017,110.9
466,2024960052,109.0
467,2025820042,88.7
468,2026100058,85.4
469,2027840050,111.5
470,2027940019,80.5
471,2027990035,96.7
472,2027990045,17.7
473,2028300021,22.2
474,2028300025,288.2
475,2028310028,89.6
476,2028310061,23.8
477,2028310065,174.0
478,2028330006,26.6
479,2028380023,113.8
480,2030500066,105.7
481,2031460016,102.7
482,2031490125,94.1
483,2031560096,83.0
484,2031610026,90.8
485,2031780045,20.7
486,2031960056,85.7
487,2031990031,99.4
488,2031990059,105.5
489,2031990072,78.5
490,2032110042,126.6
491,2032820001,22.5
492,2032950053,72.9
493,2032960047,100.1
494,1021770152,60.0
495,1022230001,124.7
496,1021390193,58.0
497,1021310001,110.7
498,3066070001,78.6
499,1008720050,66.0
500,2033050026,77.2
501,2033150044,99.3
502,2033190001,65.0
503,2033360059,86.0
504,2033470036,13.9
505,3014090037,71.2
506,1002850029,106.1
507,1003730038,135.0
508,1004550029,83.3
509,1015080016,64.8
510,1014060061,58.0
511,1001950027,31.5
512,1014467503,59.7
513,1005760016,79.3
514,2028920118,40.0
515,2058630129,61.6
516,2022930053,43.1
517,2023300034,58.3
518,2033577502,130.4
519,3076120034,67.8
